run_id,status,duration_seconds,event_type,actor
34595111869,success,167.0,dynamic,Copilot
34595106233,failure,196.0,pull_request,nobbs
34595106232,failure,196.0,pull_request,nobbs
34580219169,success,1058.0,pull_request,Copilot
34580219108,success,1875.0,pull_request,Copilot
34580212619,success,135.0,dynamic,github-advanced-security[bot]
34579927452,success,244.0,dynamic,Copilot
34579560737,failure,72.0,pull_request,salmanmkc
34579560640,failure,1518.0,pull_request,salmanmkc
34579557112,failure,70.0,dynamic,github-advanced-security[bot]
34579539137,success,290.0,push,salmanmkc
34579539116,success,887.0,push,salmanmkc
34579538207,success,85.0,dynamic,github-advanced-security[bot]
34579537614,success,4893.0,dynamic,github-codespaces[bot]
34579521248,success,111.0,dynamic,github-advanced-security[bot]
34579519721,success,1204.0,pull_request,salmanmkc
34579519714,success,287.0,pull_request,salmanmkc
34579506957,failure,73.0,dynamic,github-advanced-security[bot]
34579502006,failure,461.0,pull_request,salmanmkc
34579501952,failure,65.0,pull_request,salmanmkc
34579487952,success,287.0,push,salmanmkc
34579487931,success,653.0,push,salmanmkc
34579487139,success,1720.0,dynamic,github-codespaces[bot]
34579486936,success,87.0,dynamic,github-advanced-security[bot]
34565219129,success,263.0,pull_request,dependabot[bot]
34565219107,success,303.0,pull_request,dependabot[bot]
34565215702,success,106.0,dynamic,github-advanced-security[bot]
34563804605,success,119.0,dynamic,dependabot[bot]
34563794732,success,373.0,dynamic,dependabot[bot]
34563794162,success,39.0,dynamic,dependabot[bot]
34563783088,failure,1401.0,dynamic,dependabot[bot]
34547687726,success,12.0,schedule,benwells
34545721891,success,13.0,schedule,benwells
34439185674,failure,129.0,pull_request,dependabot[bot]
34439185598,failure,59.0,pull_request,dependabot[bot]
34439184121,failure,77.0,dynamic,github-advanced-security[bot]
34438842812,success,124.0,dynamic,dependabot[bot]
34438829332,success,34.0,dynamic,dependabot[bot]
34438828989,success,385.0,dynamic,dependabot[bot]
34438811863,failure,1250.0,dynamic,dependabot[bot]
34422454880,success,11.0,schedule,benwells
34420413920,success,13.0,schedule,benwells
34389771323,failure,8.0,pull_request,drosas122
34389771318,failure,8.0,pull_request,drosas122
34384053913,failure,17.0,pull_request,drosas122
34384053621,failure,18.0,pull_request,drosas122
34377399535,success,120.0,dynamic,github-advanced-security[bot]
34377207301,success,92.0,dynamic,github-advanced-security[bot]
34377200611,success,336.0,pull_request,dependabot[bot]
34377200487,success,340.0,pull_request,dependabot[bot]
34377192066,success,114.0,dynamic,dependabot[bot]
34377189852,success,117.0,dynamic,dependabot[bot]
34377187945,success,133.0,dynamic,dependabot[bot]
34377057976,success,75.0,dynamic,dependabot[bot]
34377045279,success,382.0,push,salmanmkc
34377045270,success,286.0,push,salmanmkc
34377044328,success,100.0,dynamic,github-advanced-security[bot]
34377044262,success,857.0,dynamic,github-codespaces[bot]
34351672947,success,139.0,dynamic,Copilot
34351144552,success,161908.0,pull_request,canblmz1
34351144526,success,160314.0,pull_request,canblmz1
34349032628,success,201.0,dynamic,Copilot
34348341131,failure,27.0,pull_request,drosas122
34348341074,failure,27.0,pull_request,drosas122
34313021245,failure,126.0,pull_request,dependabot[bot]
34313021243,failure,52.0,pull_request,dependabot[bot]
34313020706,failure,62.0,dynamic,github-advanced-security[bot]
34312932903,success,282.0,pull_request,dependabot[bot]
34312932871,success,284.0,pull_request,dependabot[bot]
34312928415,success,96.0,dynamic,github-advanced-security[bot]
34312908402,failure,190.0,pull_request,dependabot[bot]
34312908380,failure,64.0,pull_request,dependabot[bot]
34312905261,failure,70.0,dynamic,github-advanced-security[bot]
34312833624,success,256.0,pull_request,dependabot[bot]
34312833577,success,280.0,pull_request,dependabot[bot]
34312830725,success,141.0,dynamic,github-advanced-security[bot]
34312815656,success,288.0,pull_request,dependabot[bot]
34312815655,success,267.0,pull_request,dependabot[bot]
34312811359,success,89.0,dynamic,github-advanced-security[bot]
34312634322,success,126.0,dynamic,dependabot[bot]
